"Family","Genus","Species","CTmax","CTmin","Lat_max","Long_max","Lat_min","Long_min","CTmax_Tmax","CTmax_Tmin","CTmax_Tmean","CTmax_STR","CTmin_Tmax","CTmin_Tmin","CTmin_Tmean","CTmin_STR","Group","CTrange","Chelsa_STmax","Chelsa_STmin","Chelsa_STR","Temp_block"
"Bufonidae","Bufo","alvarius",39.9,2.5,31,-112,31,-112,37.11,4.38,20.48,32.73,37.11,4.38,20.48,32.73,"Amphibian",37.4,38.3033333333333,6.49333333333333,31.81,"Block_1"
"Bufonidae","Bufo","canaliferus",37.3,9.5,14.58,-90.53,14.58,-90.53,23.89,10.82,18.47,13.07,23.89,10.82,18.47,13.07,"Amphibian",27.8,24.8333333333333,12.5933333333333,12.24,"Block_1"
"Bufonidae","Bufo","canorus",38,-2,38,-119.3,38,-119.3,25.95,-6.76,6.62,32.71,25.95,-6.76,6.62,32.71,"Amphibian",40,19.9033333333333,-12.21,32.1133333333333,"Block_1"
"Bufonidae","Bufo","cognatus",41.3,-4,31,-112,31,-112,37.11,4.38,20.48,32.73,37.11,4.38,20.48,32.73,"Amphibian",45.3,38.3033333333333,6.49333333333333,31.81,"Block_1"
"Bufonidae","Bufo","debilis",40.1,2.5,27,-109.7,27,-109.7,37.28,9.57,24.56,27.7,37.28,9.57,24.56,27.7,"Amphibian",37.6,36.6633333333333,11.4566666666667,25.2066666666666,"Block_1"
"Bufonidae","Bufo","exsul",37.1,-4,38,-118,38,-118,33.34,-5.8,11.3,39.13,33.34,-5.8,11.3,39.13,"Amphibian",41.1,34.3633333333333,-3.85333333333333,38.2166666666666,"Block_1"
"Bufonidae","Bufo","haemititicus",37.5,9.5,10,-83.7,10,-83.7,28.82,20.74,25.02,8.07,28.82,20.74,25.02,8.07,"Amphibian",28,21.3066666666667,13.0433333333333,8.2633333333334,"Block_1"
"Bufonidae","Bufo","marinus",41.8,11,9,-79.5,9,-79.5,29.86,21.93,26.21,7.94,29.86,21.93,26.21,7.94,"Amphibian",30.8,28.94,24.4666666666667,4.4733333333333,"Block_1"
"Bufonidae","Bufo","marmoreus",40.2,7.8,17,-96.7,17,-96.7,23.91,7.39,17.61,16.53,23.91,7.39,17.61,16.53,"Amphibian",32.4,23.8833333333333,9.85999999999999,14.0233333333333,"Block_1"
"Bufonidae","Bufo","mazatlanensis",39.9,5,27,-109.7,27,-109.7,37.28,9.57,24.56,27.7,37.28,9.57,24.56,27.7,"Amphibian",34.9,36.6633333333333,11.4566666666667,25.2066666666666,"Block_1"
"Craugastoridae","Craugastor","fleischmanni",31.4,6,10,-83.7,10,-83.7,28.82,20.74,25.02,8.07,28.82,20.74,25.02,8.07,"Amphibian",25.4,21.3066666666667,13.0433333333333,8.2633333333334,"Block_1"
"Dendrobatidae","Dendrobates","auratus",34.8,9.5,10,-83.5,10,-83.5,30.58,23.01,26.87,7.57,30.58,23.01,26.87,7.57,"Amphibian",25.3,24.91,16.8566666666667,8.0533333333333,"Block_1"
"Eleutherodactylidae","Eleutherodactylus","coqui",37.2,7.5,18.4,-65.8,18.4,-65.8,30.29,20.32,25.62,9.97,30.29,20.32,25.62,9.97,"Amphibian",29.7,29.5133333333333,23.0633333333333,6.45,"Block_1"
"Eleutherodactylidae","Eleutherodactylus","portoricensus",36.3,7.5,18.31,-65.75,18.31,-65.75,30.29,20.32,25.62,9.97,30.29,20.32,25.62,9.97,"Amphibian",28.8,26.2866666666667,20.0333333333333,6.2533333333334,"Block_1"
"Hylidae","Hyla","regilla",37.7,-1,34.12,-116.82,34.12,-116.82,32.77,-0.21,13.94,32.98,32.77,-0.21,13.94,32.98,"Amphibian",38.7,20.7266666666667,-8.61333333333334,29.34,"Block_1"
"Hylidae","Hyla","walkeri",38.1,-2.2,16.75,-92.63,16.75,-92.63,26.78,10.85,20.06,15.93,26.78,10.85,20.06,15.93,"Amphibian",40.3,20.6533333333333,8.50666666666666,12.1466666666666,"Block_1"
"Hylidae","Pachymedusa","dacnicolor",28.8,2.5,24,-106.9,24,-106.9,33.51,14.25,25.58,19.26,33.51,14.25,25.58,19.26,"Amphibian",26.3,30.87,16.1833333333333,14.6866666666667,"Block_1"
"Hylidae","Pseudacris","cadaverina",36.8,-1.4,34,-116.7,34,-116.7,32.77,-0.21,13.94,32.98,32.77,-0.21,13.94,32.98,"Amphibian",38.2,31.14,1.03,30.11,"Block_1"
"Hylidae","Pseudacris","regilla",36.6,-1,34,-117.7,34,-117.7,31.45,2.04,14.83,29.41,31.45,2.04,14.83,29.41,"Amphibian",37.6,30.9533333333333,7.22,23.7333333333333,"Block_1"
"Hylidae","Pternohyla","fodiens",39.5,6.5,28,-109.7,28,-109.7,38.14,8.46,25.21,29.67,38.14,8.46,25.21,29.67,"Amphibian",33,36.1466666666667,8.56,27.5866666666667,"Block_1"
